Unnamed: 0,제목,날짜,본문
86,"가이드라인 마련, 전담조직 신설도...'AI윤리' 다듬는 재계",2022.08.10.,"AI윤리는 인공지능 기술이 윤리적으로 활용되고 인간과 공존할 수 있도록 개발하고 운용하는 것을 의미한다. 주요기업들이 AI 기술을 활용한 제품과... LG AI 연구원에는 AI 윤리점검 TF를 신설했다. 해당 TF를 통해 구성원들에게 AI 5대 원칙 교육과 연구, 개발 단계에서 발생 가능한 문제도 사전 검증하기로..."
87,"싱가포르 정부, 스마트 국가 'AI 혁신' 위해...구글클라우드와 AI 분야 최초의...",2022.08.10.,▷역량 및 능력 개발은 구글클라우드는 공공 부문 및 공무원을 위한 심층 AI 및 머신러닝 숙련도를 배양하기 위한 전용 교육 리소스 및 인증... 이러한 노력은 싱가포르의 AI 윤리적 사용 자문 위원회에 구글이 참여하고 조직 및 AI 모델에 발생할지도 모르는 인공지능의 위험을...
88,"메타버스 윤리 원칙, 시장 발전 막을까?…자율 규제 기반 윤리 원칙 적용에 초...",2022.08.10.,"이번 토론회에는 과기정통부 외에 여성가족부, 교육부, 외교부, 방송통신위원회, 경찰청 등 정부 부처 관계자들이 대거 참여해 법제화와 산업화... 얼라이언스 윤리제도분과 합동 토론회가 개최됐다. 코로나19로 촉발된 비대면 수요 급증, 인공지능(AI), 클라우드, 가상융합기술(XR) 등 정보통신기술(ICT) 발전으로..."
89,"[기고] 인공지능 메타버스 시대, 대학 교육의 미래 전략",2022.08.26.,"인공지능 메타버스 시대 대학 교육 환경의 변화 4차산업혁명 인공지능 메타버스 시대를 이끄는 핵심 기술은 인공지능(AI), 사물인터넷(IoT), 빅데이터(Big... 이 부분에 해당되는 역량으로는 인성·윤리의식, 문화예술 소양, 자아 긍정 관리, 미래리더쉽 등의 역량이 해당된다. 세 번째 역량으로는 협력하는 사회 역량..."
90,LG가 강조하고 나선 'AI 윤리원칙' 무엇이 담겼나?,2022.08.26.,AI(인공지능)를 어떻게 바라보고 활용하느냐에 따라 그 가치의 평가는 달라질 것으로 보입니다. LG는 AI 윤리원칙 수립을 통해 인간과 AI의 공존의... 있는 'AI 윤리 점검 TF'를 신설해 LG의 모든 구성원들이 AI 기술의 사회적 책임에 대해 생각하고 고민토록 교육을 진행한다는 방침이다. 이 밖에도 ▲LG전자...
91,"서울디지털재단, ‘국제인공지능&윤리협회’ 업무협약",2022.08.26.,"디지털 윤리에 관한 공동 연구 및 개발 ▷AI, 메타버스 분야의 디지털 윤리 전문가 양성 ▷서울시민 대상 디지털 윤리 역량 제고를 위한 공동 교육... 전창배 IAAE 국제인공지능&윤리협회 이사장은 “AI 지능형 도시, 스마트 시티는 결국 기술과 빅데이터를 통해 가능하다”면서 “도시와 시민이 각 분야에서..."
92,"교육분야 인공지능 윤리원칙 발표…교사들 ""글쎄""",2022.08.25.,"[기자] 교육부는 최근 '교육분야 인공지능(AI) 윤리원칙’을 발표했습니다. 먼저 적용 대상은 교육기관 및 교육활동을 지원하는 행정기관에서 활용되는 인공지능입니다. 이어 윤리원칙 권리.책임주체는 학습자, 학부모 등 교육 당사자와 관계자입니다. 특히 윤리원칙에는 대원칙이 담겼습니다. 바로 '사람의..."
93,"교육부, 디지털 인재양성 종합방안 발표...AI·사이버보안·빅데이터 교육 등...",2022.08.23.,'인공지능교육진흥법'과 '교육분야 인공지능 윤리기준'을 마련하고 디지털 기반 교수학습 통합 플랫폼 및 마이포트폴리오(디지털 배지 연계) 등도 구축해 나간다. 정부는 향후 디지털 인재양성 정책과 사업·연구를 총괄 지원하는 전문기관을 설립(지정)하고 디지털 인재 연합체를 구성해 민·관 개방형...
94,"'혐오 논란' 이루다 사태 재발 막자…교육부, AI 윤리원칙 마련",2022.08.10.,"교육부는 AI 기술을 교육 현장에 활용하거나 관련 프로그램을 개발할 때 지켜야 할 내용을 담은 '교육분야 인공지능 윤리원칙'을 10일 공개했다. 올해 초 시안을 발표한 후 공청회와 전문가 간담회, 유네스코(UNESCO·유엔 교육과학문화기구) 등 국제기구 의견 조회를 거쳐 그 내용을 최종 확정했다. 내용은 '사림의..."
96,"서울디지털재단, '국제인공지능&윤리협회’ 디지털 윤리 분야 공동 협력",2022.08.10.,"디지털 윤리에 관한 공동 연구 및 개발, ▲AI, 메타버스 분야의 디지털 윤리 전문가 양성 ▲서울시민 대상 디지털 윤리 역량 제고를 위한 공동 교육... 전창배 IAAE 국제인공지능&윤리협회 이사장은 ""AI 지능형 도시, 스마트 시티는 결국 기술과 빅데이터를 통해 가능하다""면서 ""도시와 시민들이 각 분야에서..."
